"","","count"
"Acetoacetate","Acetoacetate","561"
"X4.Aminobutanoate","X4.Aminobutanoate","560"
"Malonate","Malonate","561"
"X.R..3.Hydroxybutyric.acid","X.R..3.Hydroxybutyric.acid","561"
"Uracil","Uracil","561"
"Maleic.Acid","Maleic.Acid","561"
"N.AcetylGlycine","N.AcetylGlycine","561"
"Guanidinoacetate","Guanidinoacetate","561"
"X2.Hydroxyisovaleric.Acid","X2.Hydroxyisovaleric.Acid","561"
"Succinate","Succinate","561"
"Methylmalonate","Methylmalonate","561"
"Benzoic.acid","Benzoic.acid","561"
"X4.Methyl.2.oxopentanoate","X4.Methyl.2.oxopentanoate","541"
"X.R..2.Hydroxyisocaproate","X.R..2.Hydroxyisocaproate","561"
"Glutarate","Glutarate","561"
"X.S..Malate","X.S..Malate","561"
"Adenine","Adenine","559"
"Hypoxanthine","Hypoxanthine","561"
"Adipate","Adipate","561"
"X.R..Mevalonate","X.R..Mevalonate","561"
"Xanthine","Xanthine","561"
"Dopamine","Dopamine","325"
"Orotate","Orotate","561"
"L.2.Aminoadipate","L.2.Aminoadipate","561"
"Phenylpyruvate","Phenylpyruvate","561"
"Phosphoenolpyruvic.Acid","Phosphoenolpyruvic.Acid","561"
"Homogentisate","Homogentisate","561"
"Urate","Urate","561"
"Glycerone.phosphate..Dihydroxyacetone.phosphate.","Glycerone.phosphate..Dihydroxyacetone.phosphate.","561"
"D.Glyceraldehyde.3.phosphate","D.Glyceraldehyde.3.phosphate","561"
"Shikimate","Shikimate","561"
"L.Citrulline","L.Citrulline","561"
"Hippurate","Hippurate","561"
"myo.Inositol","myo.Inositol","561"
"beta.D.Glucose.L.Galactose","beta.D.Glucose.L.Galactose","561"
"X4.Hydroxyphenylpyruvate","X4.Hydroxyphenylpyruvate","561"
"X4.Pyridoxate","X4.Pyridoxate","561"
"X2.3.Phosphoglyceric.acid","X2.3.Phosphoglyceric.acid","561"
"Azelaic.acid","Azelaic.acid","561"
"X4.Hydroxy.2.quinolinecarboxylic.acid","X4.Hydroxy.2.quinolinecarboxylic.acid","561"
"D.Glucuronate","D.Glucuronate","561"
"X3.Indoxyl.Sulfate","X3.Indoxyl.Sulfate","561"
"Pantothenate","Pantothenate","561"
"L.Cystathionine","L.Cystathionine","561"
"X3.Nitrotyrosine","X3.Nitrotyrosine","561"
"Tetradecanoic.acid","Tetradecanoic.acid","561"
"D.Ribose.5.phosphate","D.Ribose.5.phosphate","558"
"Biotin","Biotin","561"
"Pyridoxal.phosphate","Pyridoxal.phosphate","0"
"F6P.F1P","F6P.F1P","541"
"G6P","G6P","541"
"Heptadecanoic.acid","Heptadecanoic.acid","561"
"Linoleate","Linoleate","561"
"Linolenate","Linolenate","561"
"Xanthosine","Xanthosine","561"
"L.Argininosuccinate","L.Argininosuccinate","561"
"X13.S..HODE","X13.S..HODE","561"
"Arachidonate","Arachidonate","561"
"dCMP","dCMP","496"
"Glutathione","Glutathione","260"
"N.Acetyl.beta.neuraminate","N.Acetyl.beta.neuraminate","561"
"X12.S..HETE","X12.S..HETE","559"
"dTMP","dTMP","520"
"CMP","CMP","501"
"G16BP","G16BP","560"
"F16BP.F26BP","F16BP.F26BP","560"
"Lactose","Lactose","561"
"Sucrose","Sucrose","561"
"X3..5..Cyclic.GMP","X3..5..Cyclic.GMP","510"
"Gibberellin.A3","Gibberellin.A3","552"
"AMP","AMP","561"
"IMP","IMP","560"
"Prostaglandin.E2","Prostaglandin.E2","542"
"Orotidine.5..phosphate","Orotidine.5..phosphate","541"
"S.Adenosylhomocysteine","S.Adenosylhomocysteine","561"
"X5.Phospho.alpha.D.ribose.1.diphosphate","X5.Phospho.alpha.D.ribose.1.diphosphate","0"
"UDP","UDP","540"
"ADP","ADP","548"
"Folate","Folate","390"
"GDP","GDP","557"
"Dihydrofolate","Dihydrofolate","0"
"Tetrahydrofolate","Tetrahydrofolate","45"
"X5.Methyltetrahydrofolate","X5.Methyltetrahydrofolate","359"
"Glycocholate","Glycocholate","561"
"ATP","ATP","541"
"Taurocholate","Taurocholate","561"
"GTP","GTP","79"
"Glutathione.disulfide","Glutathione.disulfide","131"
"NAD.","NAD.","251"
"NADH","NADH","210"
"NADP.","NADP.","8"
"NADPH","NADPH","3"
"L.Lactate","L.Lactate","561"
"Fumarate","Fumarate","561"
"X2.Methylmaleate","X2.Methylmaleate","561"
"Allantoin","Allantoin","561"
"cis.Aconitate","cis.Aconitate","561"
"Monodehydroascorbate","Monodehydroascorbate","156"
"Citrate","Citrate","561"
"Glycochenodeoxycholate","Glycochenodeoxycholate","559"
"Malondialdehyde","Malondialdehyde","561"
"X2.Methylpropanoate","X2.Methylpropanoate","561"
"Glyceric.acid","Glyceric.acid","561"
"X2.Oxoisovalerate","X2.Oxoisovalerate","561"
"D.Erythrose","D.Erythrose","147"
"MethylSuccinate","MethylSuccinate","561"
"Oxalacetate","Oxalacetate","561"
"X3.Ureidopropionate","X3.Ureidopropionate","10"
"X2.Oxoglutarate","X2.Oxoglutarate","561"
"X2.Hydroxyglutarate","X2.Hydroxyglutarate","561"
"beta.D.Fructose","beta.D.Fructose","561"
"G1P","G1P","561"
"dUMP","dUMP","0"
"Polyprenyl.diphosphate","Polyprenyl.diphosphate","560"
"dCDP","dCDP","0"
"Chenodeoxycholate","Chenodeoxycholate","0"
"N6..1.2.Dicarboxyethyl..AMP","N6..1.2.Dicarboxyethyl..AMP","561"
"dUTP","dUTP","3"
"X2.Hydroxyisobutyrate","X2.Hydroxyisobutyrate","0"
"sn.Glycerol.3.phosphate","sn.Glycerol.3.phosphate","561"
"Glyceraldehyde","Glyceraldehyde","561"
"Pyruvate","Pyruvate","561"
"Oxalate","Oxalate","134"
"X3.Methylbutanoic.acid","X3.Methylbutanoic.acid","47"
"X3.Methyl.2.oxopentanoate","X3.Methyl.2.oxopentanoate","561"
"Quinolinate","Quinolinate","0"
"Isocitrate","Isocitrate","561"
"Homovanillate","Homovanillate","561"
"Trimethylamine","Trimethylamine","561"
"L.Glycine","L.Glycine","561"
"Trimethylamine.N.oxide","Trimethylamine.N.oxide","561"
"Putrescine","Putrescine","47"
"Sarcosine","Sarcosine","561"
"L.Alanine","L.Alanine","561"
"Cadaverine","Cadaverine","561"
"X3.Aminoisobutyric.acid","X3.Aminoisobutyric.acid","561"
"Choline","Choline","561"
"Dimethylglycine","Dimethylglycine","561"
"L.Serine","L.Serine","561"
"Hypotaurine","Hypotaurine","0"
"Histamine","Histamine","0"
"Cytosine","Cytosine","427"
"Creatinine","Creatinine","561"
"L.Proline","L.Proline","561"
"X5.Aminopentanoic.acid","X5.Aminopentanoic.acid","561"
"Betaine","Betaine","561"
"L.Valine","L.Valine","561"
"Indole","Indole","384"
"L.Homoserine","L.Homoserine","561"
"L.Threonine","L.Threonine","561"
"L.Cysteine","L.Cysteine","298"
"Nicotinamide","Nicotinamide","561"
"Nicotinate","Nicotinate","0"
"Taurine","Taurine","561"
"X5.Oxoproline","X5.Oxoproline","561"
"L.Pipecolate","L.Pipecolate","561"
"Agmatine","Agmatine","0"
"N.Acetylputrescine","N.Acetylputrescine","561"
"Ethyl.4.aminobutyrate","Ethyl.4.aminobutyrate","122"
"Creatine","Creatine","561"
"Hydroxyproline","Hydroxyproline","561"
"X5.Aminolevulinate","X5.Aminolevulinate","561"
"L.Isoleucine","L.Isoleucine","561"
"L.Leucine","L.Leucine","561"
"L.Ornithine","L.Ornithine","561"
"L.Asparagine","L.Asparagine","561"
"L.Aspartate","L.Aspartate","204"
"L.Homocysteine","L.Homocysteine","561"
"X1.Methylnicotinamide","X1.Methylnicotinamide","561"
"Tyramine","Tyramine","132"
"X4.Acetamidobutanoate","X4.Acetamidobutanoate","561"
"Spermidine","Spermidine","405"
"L.Glutamine","L.Glutamine","561"
"L.Lysine","L.Lysine","561"
"L.Glutamate","L.Glutamate","561"
"L.Methionine","L.Methionine","561"
"Cysteamine","Cysteamine","0"
"X3.Hydroxyanthranilate","X3.Hydroxyanthranilate","47"
"L.Histidine","L.Histidine","561"
"Tryptamine","Tryptamine","468"
"Carnitine","Carnitine","561"
"L.Phenylalanine","L.Phenylalanine","561"
"N.pi..Methyl.L.histidine","N.pi..Methyl.L.histidine","561"
"Pyridoxine","Pyridoxine","47"
"L.Arginine","L.Arginine","561"
"Indole.3.acetate","Indole.3.acetate","561"
"D.Glucosamine","D.Glucosamine","518"
"D.Mannose","D.Mannose","90"
"L.Tyrosine","L.Tyrosine","561"
"D.Sorbitol","D.Sorbitol","47"
"N8.Acetylspermidine","N8.Acetylspermidine","561"
"X5.Hydroxyindoleacetate","X5.Hydroxyindoleacetate","47"
"Salicyluric.acid","Salicyluric.acid","47"
"Spermine","Spermine","118"
"O.Acetylcarnitine","O.Acetylcarnitine","561"
"L.Tryptophan","L.Tryptophan","561"
"Indolelactate","Indolelactate","561"
"L.Kynurenine","L.Kynurenine","561"
"X5.Hydroxy.L.tryptophan","X5.Hydroxy.L.tryptophan","95"
"X3.Hydroxy.L.kynurenine","X3.Hydroxy.L.kynurenine","230"
"Deoxyuridine","Deoxyuridine","66"
"Melatonin","Melatonin","475"
"L.Cystine","L.Cystine","561"
"Cytidine","Cytidine","561"
"N1.Acetylspermine","N1.Acetylspermine","173"
"Uridine","Uridine","561"
"X5.Hydroxymethyl.2..deoxyuridine","X5.Hydroxymethyl.2..deoxyuridine","0"
"Adenosine","Adenosine","474"
"Inosine","Inosine","561"
"X6.Methyladenosine","X6.Methyladenosine","509"
"X8.Hydroxy.deoxyguanosine","X8.Hydroxy.deoxyguanosine","79"
"Methylthioadenosine","Methylthioadenosine","93"
"N2.N2.Dimethylguanosine","N2.N2.Dimethylguanosine","0"
"Nicotinamide.mononucleotide","Nicotinamide.mononucleotide","106"
"Guanosine.5..monophosphate","Guanosine.5..monophosphate","458"
"S.Adenosylmethionine","S.Adenosylmethionine","184"
"alpha.Tocopherol","alpha.Tocopherol","561"
"Bilirubin","Bilirubin","556"
"X3.Acetamidopropanal","X3.Acetamidopropanal","0"
"Cys.Gly","Cys.Gly","79"
"X1.Methyladenosine","X1.Methyladenosine","561"
"N.Methylhistamine","N.Methylhistamine","95"
"Serotonin","Serotonin","561"
"Xanthurenate","Xanthurenate","561"
"X4.Hydroxybutyrate","X4.Hydroxybutyrate","0"
"Anthranilate","Anthranilate","137"
"Acetylcholine","Acetylcholine","181"
"X4.Trimethylammoniobutanoate","X4.Trimethylammoniobutanoate","561"
"L.Adrenaline","L.Adrenaline","561"
"IndolePyruvate","IndolePyruvate","356"
"O.Phosphotyrosine","O.Phosphotyrosine","58"
"X1.Methylguanosine","X1.Methylguanosine","561"
"X8.hydroxyguanosine","X8.hydroxyguanosine","2"
"Glycerol","Glycerol","0"
"L.Normetanephrine","L.Normetanephrine","312"
"Guanosine","Guanosine","11"
"Carnosine","Carnosine","0"
"group","group","561"
