,Disease remission,Low disease activity,Moderate disease activity,High disease activity,Cluster,gene,Cluster,
Mevalonic acid,0.65,0.62,0.21,-1.47,cluster1,Mevalonic acid,cluster1,
Homovanillic acid,0.55,0.57,0.38,-1.49,cluster1,Homovanillic acid,cluster1,
Xanthosine,0.75,0.34,0.39,-1.47,cluster1,Xanthosine,cluster1,
Guanosine 5'-diphosphate,0.99,0.09,0.31,-1.38,cluster1,Guanosine 5'-diphosphate,cluster1,
Glycocholic acid,0.81,-0.15,0.69,-1.36,cluster1,Glycocholic acid,cluster1,
Malondialdehyde,0.69,-0.22,0.85,-1.32,cluster1,Malondialdehyde,cluster1,
Alpha-Lactose,0.64,0.15,0.66,-1.46,cluster1,Alpha-Lactose,cluster1,
Sucrose,0.73,0.07,0.63,-1.44,cluster1,Sucrose,cluster1,
Folic acid,0.5,0.29,0.69,-1.48,cluster1,Folic acid,cluster1,
Citric acid,0.6,0.31,0.58,-1.49,cluster1,Citric acid,cluster1,
Chenodeoxycholic acid glycine conjugate,0.99,0.49,-0.14,-1.33,cluster1,Chenodeoxycholic acid glycine conjugate,cluster1,
Alpha-Tocopherol,1.01,0.66,-0.58,-1.1,cluster1,Alpha-Tocopherol,cluster1,
5-Aminopentanoic acid,0.09,1.22,-0.08,-1.23,cluster1,5-Aminopentanoic acid,cluster1,
Indolelactic acid,0.53,1.14,-0.7,-0.96,cluster1,Indolelactic acid,cluster1,
Phenylpyruvate,0.55,-1.19,1.06,-0.42,cluster2,Phenylpyruvate,cluster2,
Benzoic acid,0.22,-1.35,1.06,0.07,cluster2,Benzoic acid,cluster2,
S-Adenosylhomocysteine,0.27,-1.24,1.16,-0.2,cluster2,S-Adenosylhomocysteine,cluster2,
Fumarate,0.94,-1.03,0.77,-0.67,cluster2,Fumarate,cluster2,
Hippuric acid,0.85,-1.4,0.56,-0.01,cluster2,Hippuric acid,cluster2,
Methyl-3-methyl-2-oxopentanoate,1.19,-1.16,0.32,-0.36,cluster2,Methyl-3-methyl-2-oxopentanoate,cluster2,
Pantothenic acid,0.77,-0.72,0.95,-0.99,cluster2,Pantothenic acid,cluster2,
Aconitic acid,0.58,-0.5,1.06,-1.14,cluster2,Aconitic acid,cluster2,
Xanthine,0.57,-0.63,1.1,-1.03,cluster2,Xanthine,cluster2,
2-Hydroxyglutarate,0.48,-0.69,1.17,-0.96,cluster2,2-Hydroxyglutarate,cluster2,
"Glucose 1,6-bisphosphate",-0.59,-0.14,1.45,-0.72,cluster2,"Glucose 1,6-bisphosphate",cluster2,
Glyceraldehyde,-0.07,-0.12,1.31,-1.12,cluster2,Glyceraldehyde,cluster2,
5-Thymidylic acid,0.76,-1.46,0.21,0.49,cluster3,5-Thymidylic acid,cluster3,
Indolepyruvate,1.11,-1.17,-0.42,0.47,cluster3,Indolepyruvate,cluster3,
Guanosine monophosphate,0.71,-0.75,-0.96,1.01,cluster3,Guanosine monophosphate,cluster3,
Serotonin,0.55,-0.96,-0.72,1.13,cluster3,Serotonin,cluster3,
Tryptophan,0.61,-0.1,-1.37,0.86,cluster3,Tryptophan,cluster3,
Normetanephrine,1.16,-0.53,-1.08,0.45,cluster3,Normetanephrine,cluster3,
Heptadecanoic acid,1.14,-0.39,0.42,-1.17,cluster4,Heptadecanoic acid,cluster4,
1-Methyl-histidine,1.22,-0.21,0.18,-1.2,cluster4,1-Methyl-histidine,cluster4,
4-Hydroxyphenylpyruvic acid,1.37,-0.22,-0.13,-1.02,cluster4,4-Hydroxyphenylpyruvic acid,cluster4,
4-Pyridoxic acid,1.34,-0.44,0.1,-1,cluster4,4-Pyridoxic acid,cluster4,
Cystathionine,1.31,-0.65,0.23,-0.9,cluster4,Cystathionine,cluster4,
"3',5'-Cyclic GMP",1.45,-0.84,-0.36,-0.25,cluster4,"3',5'-Cyclic GMP",cluster4,
Citraconic acid,1.4,-0.86,0.02,-0.56,cluster4,Citraconic acid,cluster4,
Epinephrine,1.43,-0.05,-0.75,-0.63,cluster4,Epinephrine,cluster4,
3-Hydroxy-kynurenin,1.5,-0.5,-0.5,-0.5,cluster4,3-Hydroxy-kynurenin,cluster4,
Bilirubin,1.48,-0.51,-0.7,-0.27,cluster4,Bilirubin,cluster4,
